,no. games,no. wins,no. losses,no. ties,win ratio,avg game len,avg game len (wins),avg game len (losses),avg shutter size,avg shutter size (wins),avg shutter size (losses),fraction of plays with shutter,fraction of plays with shutter (wins),fraction of plays with shutter (losses),avg shutter size (real last turn),avg shutter size (real last turn - wins),avg shutter size (real last turn - losses),fraction of plays with shutter (real last turn),fraction of plays with shutter (real last turn - wins),fraction of plays with shutter (real last turn - losses),CI_wins_losses,CI_game_length,CI_game_length_wins,CI_game_length_losses,CI_shutter_size,CI_shutter_size_wins,CI_shutter_size_losses,CI_plays_with_shutter_all,CI_plays_with_shutter_wins,CI_plays_with_shutter_losses,CI_shutter_size_real_last_turn,CI_shutter_size_wins_real_last_turn,CI_shutter_size_losses_real_last_turn,CI_plays_with_shutter_all_real_last_turn,CI_plays_with_shutter_wins_real_last_turn,CI_plays_with_shutter_losses_real_last_turn
board 1 full_None,1000,10,985,5,0.0125,6.574874371859297,5.8,6.582741116751269,2.353369763205829,0.0,2.490272373540856,0.1650631389055923,0.7058823529411765,0.1585441085749537,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.0040201  0.01708543],[6.45125628 6.69949749],[4.6 7. ],[6.45888325 6.70862944],[2.18579235 2.52094718],[0. 0.],[2.31906615 2.6614786 ],[0.15243536 0.17769092],[0.55882353 0.85294118],[0.14589759 0.17119062],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 1 truncated_None,1000,145,849,6,0.148,5.180080482897385,4.986206896551725,5.213191990577149,1.413148049171566,0.0,1.844912280701754,0.6927064050351721,1.0,0.6439222774514234,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.12474849 0.16800805],[5.10261569 5.25855131],[4.95862069 5.        ],[5.12367491 5.30506478],[1.3212186  1.50668092],[0. 0.],[1.73263158 1.95789474],[0.67530544 0.71010737],[1. 1.],[0.62403977 0.66380479],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 2 full_None,1000,83,917,0,0.083,4.993,5.289156626506024,4.966194111232279,1.233745512564818,0.1737451737451738,1.355871886120996,0.987785657998424,0.9923371647509579,0.9872639437856829,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.066 0.1  ],[4.887 5.102],[4.90361446 5.69879518],[4.85714286 5.07960742],[1.17869964 1.28958915],[0.1042471  0.25096525],[1.29715302 1.41592527],[0.98345154 0.99172577],[0.98084291 1.        ],[0.98243303 0.99165569],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 2 truncated_None,1000,206,794,0,0.206,5.034,4.019417475728155,5.297229219143577,1.174940898345154,0.1650485436893204,1.432031636183885,0.9687022900763359,0.9961315280464217,0.9619591060389919,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.181 0.231],[4.927 5.143],[3.77669903 4.2815534 ],[5.18639798 5.41057935],[1.1142632 1.2356186],[0.11456311 0.22135922],[1.36134454 1.50271873],[0.96183206 0.97519084],[0.99032882 1.        ],[0.9533999 0.9700428],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
empty board_None,1000,471,529,0,0.471,10.135,9.220806794055202,10.94896030245747,0.88659309697112,0.4187370600414079,1.275032230339493,0.8031303036017349,0.8026589115081014,0.8035220994475138,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.44  0.502],[ 9.972 10.3  ],[9.00424628 9.44161359],[10.73345936 11.16824197],[0.84926039 0.92463019],[0.37836439 0.46014493],[1.21959605 1.33132789],[0.79238167 0.81369036],[0.78645617 0.8184462 ],[0.78901934 0.81767956],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 1 full_0,1000,69,931,0,0.069,6.431,6.188405797101449,6.448979591836735,0.0,0.0,0.0,0.2227692307692308,0.7217741935483871,0.181545636242505,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.054 0.085],[6.312 6.551],[5.7826087  6.53623188],[6.32653061 6.5735768 ],[0. 0.],[0. 0.],[0. 0.],[0.20861538 0.23723077],[0.66532258 0.77822581],[0.16788807 0.19553631],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 1 truncated_0,1000,420,578,2,0.421,5.408817635270541,4.980952380952381,5.719723183391004,0.0,0.0,0.0,0.8223436966176974,0.9992038216560509,0.6944948578342408,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.39078156 0.45190381],[5.34569138 5.4739479 ],[4.96190476 4.9952381 ],[5.61937716 5.82352941],[0. 0.],[0. 0.],[0. 0.],[0.80833618 0.83600957],[0.99761146 1.        ],[0.67271627 0.7168784 ],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 2 full_0,1000,320,680,0,0.32,6.254,5.6875,6.520588235294118,0.0,0.0,0.0,0.9996957712199575,1.0,0.9995489400090212,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.291 0.349],[6.12  6.387],[5.46875 5.9125 ],[6.35882353 6.68235294],[0. 0.],[0. 0.],[0. 0.],[0.99908731 1.        ],[1. 1.],[0.99864682 1.        ],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 2 truncated_0,1000,423,577,0,0.423,5.289,3.921985815602837,6.291161178509532,0.0,0.0,0.0,0.9985994397759104,1.0,0.9977961432506887,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.392 0.454],[5.181 5.396],[3.76122931 4.08747045],[6.22183709 6.36395147],[0. 0.],[0. 0.],[0. 0.],[0.99719888 0.99964986],[1. 1.],[0.99559229 0.99944904],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
empty board_0,1000,682,318,0,0.682,9.17,8.290322580645162,11.05660377358491,0.0,0.0,0.0,0.7919204222492895,0.7831439393939394,0.8077360637087599,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.653 0.711],[9.007 9.336],[8.13489736 8.4516129 ],[10.7672956  11.35849057],[0. 0.],[0. 0.],[0. 0.],[0.78055217 0.80328867],[0.76862374 0.79734848],[0.78953356 0.82593857],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
