,no. games,no. wins,no. losses,no. ties,win ratio,avg game len,avg game len (wins),avg game len (losses),avg shutter size,avg shutter size (wins),avg shutter size (losses),fraction of plays with shutter,fraction of plays with shutter (wins),fraction of plays with shutter (losses),avg shutter size (real last turn),avg shutter size (real last turn - wins),avg shutter size (real last turn - losses),fraction of plays with shutter (real last turn),fraction of plays with shutter (real last turn - wins),fraction of plays with shutter (real last turn - losses),CI_wins_losses,CI_game_length,CI_game_length_wins,CI_game_length_losses,CI_shutter_size,CI_shutter_size_wins,CI_shutter_size_losses,CI_plays_with_shutter_all,CI_plays_with_shutter_wins,CI_plays_with_shutter_losses,CI_shutter_size_real_last_turn,CI_shutter_size_wins_real_last_turn,CI_shutter_size_losses_real_last_turn,CI_plays_with_shutter_all_real_last_turn,CI_plays_with_shutter_wins_real_last_turn,CI_plays_with_shutter_losses_real_last_turn
board 3 full_None,1000,1,999,0,0.001,4.665,11.0,4.658658658658658,2.990030342436064,2.4,2.99131190269331,0.9888555507929704,0.8333333333333334,0.9892565535023635,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.    0.003],[4.581 4.754],[11. 11.],[4.57457457 4.74674675],[2.91460772 3.06588643],[0.8 4. ],[2.91572546 3.06733275],[0.98456922 0.99271324],[0.5 1. ],[0.98495917 0.99312419],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 3 truncated_None,1000,0,1000,0,0.0,4.594,-1.0,4.594,3.222222222222222,-1.0,3.222222222222222,0.9952111449717023,0.0,0.9952111449717023,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0. 0.],[4.524 4.666],[-1 -1],[4.522 4.668],[3.13079615 3.31321085],[-1 -1],[3.13167104 3.31321085],[0.99216369 0.99782325],[nan nan],[0.99216369 0.99782325],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 4 full_None,1000,27,973,0,0.027,4.603,6.703703703703703,4.544707091469681,0.668971477960242,0.5480769230769231,0.6746606334841629,0.9995680345572354,1.0,0.9995477159656264,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.017 0.037],[4.528 4.681],[6.18518519 7.22222222],[4.47276465 4.62076053],[0.63526361 0.70354365],[0.42307692 0.68269231],[0.639819   0.71040724],[0.9987041 1.       ],[1. 1.],[0.99864315 1.        ],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 4 truncated_None,1000,23,977,0,0.023,4.597,6.217391304347826,4.55885363357216,1.101819757365684,0.7439024390243902,1.115004492362983,0.9991341991341991,0.9879518072289156,0.9995509654243376,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.014 0.033],[4.521 4.675],[5.69565217 6.73913043],[4.48515865 4.63664278],[1.05242634 1.15164645],[0.51219512 1.        ],[1.06469003 1.16576819],[0.9978355 1.       ],[0.96385542 1.        ],[0.9986529 1.       ],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 5 full_None,1000,216,784,0,0.216,5.894,6.175925925925926,5.816326530612245,1.948897795591182,1.121761658031088,2.236273627362736,0.9800327332242226,0.9961290322580645,0.974561403508772,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.191 0.242],[5.745 6.052],[5.91666667 6.4537037 ],[5.64540816 6.00255102],[1.87374749 2.0250501 ],[1.01165803 1.23445596],[2.14581458 2.32853285],[0.97479542 0.98494272],[0.99096774 1.        ],[0.96798246 0.98070175],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 5 truncated_None,1000,50,950,0,0.05,5.12,5.24,5.113684210526316,1.814330958036421,0.448051948051948,1.903035413153457,0.9771760154738878,0.9871794871794872,0.9765335529024289,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.037 0.064],[5.007 5.237],[4.68 5.84],[4.99789474 5.23368421],[1.72882027 1.9010293 ],[0.25974026 0.66883117],[1.81450253 1.99367622],[0.97137331 0.98259188],[0.96794872 1.        ],[0.97035817 0.98229724],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
empty board_None,1000,903,97,0,0.903,11.603,11.08194905869324,16.45360824742268,0.3199390592268139,0.2522522522522522,0.76,0.8397569166799936,0.8342804766269477,0.8771929824561403,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.884 0.921],[11.383 11.83 ],[10.89368771 11.27685493],[15.42268041 17.54639175],[0.29594363 0.34450581],[0.22961986 0.27576357],[0.66571429 0.86      ],[0.83064129 0.84871262],[0.8243813  0.84417965],[0.85338346 0.89974937],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 3 full_0,1000,259,741,0,0.259,5.407,3.16988416988417,6.188933873144399,0.0,0.0,0.0,0.9971761383692199,1.0,0.9965111208024422,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.232 0.286],[5.266 5.551],[3.07722008 3.27799228],[6.04048583 6.34547908],[0. 0.],[0. 0.],[0. 0.],[0.99505824 0.99894105],[1. 1.],[0.99389446 0.99869167],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 3 truncated_0,1000,113,887,0,0.113,4.445,3.654867256637168,4.545659526493799,0.0,0.0,0.0,0.9973672663448881,1.0,0.9970238095238095,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.094 0.133],[4.357 4.537],[3.42477876 3.9380531 ],[4.45546787 4.64261556],[0. 0.],[0. 0.],[0. 0.],[0.99517332 0.99912242],[1. 1.],[0.99454365 0.99900794],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 4 full_0,1000,191,809,0,0.191,6.251,6.560209424083769,6.177997527812114,0.0,0.0,0.0,0.999379074821484,0.9986149584487535,0.9995998399359743,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.167 0.216],[6.101 6.402],[6.19371728 6.93717277],[6.01730532 6.34363412],[0. 0.],[0. 0.],[0. 0.],[0.99844769 1.        ],[0.99584488 1.        ],[0.99879952 1.        ],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
