,condition,entropy
0,Full,0.8030934810897514
1,Truncated,1.1783989482935233
2,Full,0.6963052770814935
3,Truncated,1.2026703498539812
4,Full,0.7522580981674636
5,Truncated,1.2913969193276382
6,Full,0.7986696242484322
7,Truncated,1.1267937463464321
8,Full,0.6807104442134767
9,Truncated,1.2172984043947324
10,Full,0.7155773877344741
11,Truncated,1.1566788983146403
12,Full,0.7072634548015558
13,Truncated,1.2494329602865095
14,Full,0.7809744263263082
15,Truncated,1.121031614111468
16,Full,0.740396958563005
17,Truncated,1.2163034835946653
18,Full,0.6934988923851805
19,Truncated,1.2162000461505544
20,Full,0.7466762968115898
21,Truncated,1.2237059900638987
22,Full,0.6929047173032359
23,Truncated,1.1655795218219012
24,Full,0.700247294503733
25,Truncated,1.2354907054415487
26,Full,0.7845107306981954
27,Truncated,1.245533174550693
28,Full,0.7732550242618885
29,Truncated,1.2035755523043576
30,Full,0.7749930715203737
31,Truncated,1.2281565788434021
32,Full,0.8039066399721432
33,Truncated,1.2582118454134938
34,Full,0.703846652511893
35,Truncated,1.1413341398930195
36,Full,0.7515721586920054
37,Truncated,1.2066632245496178
38,Full,0.71332407200155
39,Truncated,1.1408741523708772
40,Full,0.6938403022789716
41,Truncated,1.0623111887714232
42,Full,0.7227716855300342
43,Truncated,1.1144490193040042
44,Full,0.7386731138370997
45,Truncated,1.1503007904798646
46,Full,0.7901461912077463
47,Truncated,1.1681189083257668
48,Full,0.7904013159456206
49,Truncated,1.2441273917506654
50,Full,0.6638416808516179
51,Truncated,1.1885455443046387
52,Full,0.7424714134389462
53,Truncated,1.1471121688283272
54,Full,0.6887877221689066
55,Truncated,1.182831755550826
56,Full,0.8004993859470214
57,Truncated,1.1558626713897833
58,Full,0.6995449545409692
59,Truncated,1.2304645383469164
60,Full,0.7190338139547633
61,Truncated,1.129383751053016
62,Full,0.742614214428676
63,Truncated,1.0799664532067228
64,Full,0.759376016068498
65,Truncated,1.1517259558914499
66,Full,0.7345847608857288
67,Truncated,1.1925388444424738
68,Full,0.780367143024972
69,Truncated,1.2214652015199652
70,Full,0.7402637969413055
71,Truncated,1.1855881757596778
72,Full,0.6656527499865253
73,Truncated,1.1381233351668805
74,Full,0.7126038159113041
75,Truncated,1.160856232972107
76,Full,0.7666211270794555
77,Truncated,1.164178009609846
78,Full,0.7153909870715316
79,Truncated,1.159344608910439
80,Full,0.7316252006875448
81,Truncated,1.1786191314025423
82,Full,0.7123647276294951
83,Truncated,1.1989652825574741
84,Full,0.7887311230351526
85,Truncated,1.160238285040496
86,Full,0.7393393819084806
87,Truncated,1.2217206081574563
88,Full,0.7070380588139132
89,Truncated,1.1770049849172837
90,Full,0.7162745741259808
91,Truncated,1.2349519419682398
92,Full,0.7315277033379319
93,Truncated,1.140909770155242
94,Full,0.6982872657626645
95,Truncated,1.2333235497432502
96,Full,0.708132206912856
97,Truncated,1.196960194894246
98,Full,0.7610957205000497
99,Truncated,1.1545881377890375
100,Full,0.774691708757634
101,Truncated,1.3024548690561322
102,Full,0.7690676856524127
103,Truncated,1.1707385322272539
104,Full,0.7574409251457687
105,Truncated,1.1657352297668646
106,Full,0.7344637062960221
107,Truncated,1.1581951308016367
108,Full,0.7958924660675575
109,Truncated,1.1982598031190332
110,Full,0.7151615760380216
111,Truncated,1.1569569207969563
112,Full,0.729086017288176
113,Truncated,1.1716301057952663
114,Full,0.7059631506991819
115,Truncated,1.1688400773521521
116,Full,0.7163022329511173
117,Truncated,1.177953063383648
118,Full,0.8178239967383798
119,Truncated,1.2269369881686505
120,Full,0.6966081412042112
121,Truncated,1.110531034760417
122,Full,0.7222470804688085
123,Truncated,1.232045824148048
124,Full,0.7906328222472733
125,Truncated,1.2271479553534792
126,Full,0.7579816606287006
127,Truncated,1.2680844999416345
128,Full,0.7696197927698882
129,Truncated,1.1873207275532291
130,Full,0.7510543914481584
131,Truncated,1.2472419947341962
132,Full,0.6285747435551896
133,Truncated,1.0792311175441864
134,Full,0.738802442504387
135,Truncated,1.1917522231822557
136,Full,0.717812115179675
137,Truncated,1.2018237583295792
138,Full,0.7389184083471326
139,Truncated,1.1742730859378125
140,Full,0.7041405897528565
141,Truncated,1.124440118736541
142,Full,0.752354355722462
143,Truncated,1.158672335075578
144,Full,0.7265243673042898
145,Truncated,1.2004537120131789
146,Full,0.7177880934588686
147,Truncated,1.212501278388727
148,Full,0.6642892292005347
149,Truncated,1.0723340930043523
150,Full,0.6850693529467818
151,Truncated,1.1322840920072832
152,Full,0.6742198535504244
153,Truncated,1.1845071031173913
154,Full,0.6845019206160126
155,Truncated,1.165146538329143
156,Full,0.6159972714961592
157,Truncated,1.1729312656570992
158,Full,0.7080944360511439
159,Truncated,1.1684611838057724
160,Full,0.7974954127453182
161,Truncated,1.3284115763335824
162,Full,0.8112161928430807
163,Truncated,1.1832690849560306
164,Full,0.7443150797987558
165,Truncated,1.209334115000704
166,Full,0.7205884716927533
167,Truncated,1.1989394913437734
168,Full,0.785068701102632
169,Truncated,1.1919284588301646
170,Full,0.6599905350833687
171,Truncated,1.2009643106340893
172,Full,0.7699806322449452
173,Truncated,1.2308221967055173
174,Full,0.6629994771517908
175,Truncated,1.116057680289806
176,Full,0.8057438506968299
177,Truncated,1.1005858867328293
178,Full,0.7700248690214665
179,Truncated,1.2690229064185494
180,Full,0.7354113764821067
181,Truncated,1.1794153361933628
182,Full,0.7846492032625259
183,Truncated,1.2864954176104624
184,Full,0.8007133205352777
185,Truncated,1.1747224215472343
186,Full,0.7610490690947497
187,Truncated,1.1930085095226355
188,Full,0.7077714815983138
189,Truncated,1.1666843886374327
190,Full,0.703184736637832
191,Truncated,1.2060197317959256
192,Full,0.6122699451260908
193,Truncated,1.1521952995080305
194,Full,0.7862060349841478
195,Truncated,1.1998719056166365
196,Full,0.7406953006343913
197,Truncated,1.1204246887218356
198,Full,0.6955973225776101
199,Truncated,1.1871670445933342
200,Full,0.6991317403960041
201,Truncated,1.162688425268024
202,Full,0.6881078788777405
203,Truncated,1.2215552392545361
204,Full,0.6664381335393805
205,Truncated,1.1319515269694658
206,Full,0.6870220056886712
207,Truncated,1.1576086199675064
208,Full,0.7271376484499423
209,Truncated,1.2252789748025648
210,Full,0.734124351225284
211,Truncated,1.2289553360372645
212,Full,0.6904614077937578
213,Truncated,1.2202936735826553
214,Full,0.7118927286598967
215,Truncated,1.0919287405782048
216,Full,0.6916671907189232
217,Truncated,1.123718990585382
218,Full,0.799163742275183
219,Truncated,1.2362939679448561
220,Full,0.6875679815790876
221,Truncated,1.2407340895207442
222,Full,0.6924021836914084
223,Truncated,1.17807521107778
224,Full,0.7111228688088496
225,Truncated,1.1397285892374014
226,Full,0.709025560121047
227,Truncated,1.2038874021710197
228,Full,0.722874372951596
229,Truncated,1.1902225287927188
230,Full,0.7556551723103188
231,Truncated,1.1454180242230663
232,Full,0.7058683277874869
233,Truncated,1.1545935402456728
234,Full,0.7424591280899147
235,Truncated,1.1804352023678921
236,Full,0.7417607150277034
237,Truncated,1.1941602374084748
238,Full,0.718314432080257
239,Truncated,1.2536760424422682
240,Full,0.8352156582077161
241,Truncated,1.223128209913812
242,Full,0.7706481606010421
243,Truncated,1.1749583813374513
244,Full,0.6839755978173487
245,Truncated,1.1990402323189466
246,Full,0.8283635824026467
247,Truncated,1.2363470363990303
248,Full,0.7288035022686431
249,Truncated,1.1996119873485591
250,Full,0.8693368025372361
251,Truncated,1.3299350217445487
252,Full,0.6765244225282255
253,Truncated,1.0982268957704702
254,Full,0.730428021225957
255,Truncated,1.1897381615676659
256,Full,0.6580948176327647
257,Truncated,1.1861087710057836
258,Full,0.7477346571803365
259,Truncated,1.2568480787810483
260,Full,0.6683741373210317
261,Truncated,1.1305781057062558
262,Full,0.7559804199079961
263,Truncated,1.2308127657380545
264,Full,0.6878032133437858
265,Truncated,1.1756227753316706
266,Full,0.6896447597163738
