,thinking_time,auto_actions
0,23.35,0
1,5.196000000000001,0
2,4.178,3
3,96.21600000000001,0
4,12.512,1
5,2.6010000000000004,0
6,8.427999999999999,0
7,8.904,0
8,2.9210000000000003,0
9,6.945,0
10,3.076,1
11,3.787,0
12,1.072,0
13,14.074000000000002,2
14,16.162,0
15,5.013999999999999,0
16,4.928999999999999,0
17,6.041,0
18,9.011000000000001,1
19,15.020999999999999,0
20,26.366,1
21,18.186,1
22,7.181,0
23,15.368,2
24,4.824,0
25,7.734,0
26,2.533,1
27,4.165,0
28,5.327999999999999,1
29,3.745,1
30,2.56,0
31,8.384,0
32,5.046,0
33,5.367000000000001,1
34,2.721,0
35,2.234,0
36,8.791,0
37,14.342,0
38,6.04,0
39,3.142,0
40,6.731,1
41,1.0190000000000001,2
42,8.096,1
43,11.036,0
44,3.748,0
45,5.046,0
46,2.9219999999999997,0
47,9.732000000000001,1
48,7.518,0
49,15.294,0
50,2.602,0
51,14.312000000000001,0
52,3.4560000000000004,1
53,23.28,0
54,2.752,0
55,8.392000000000001,0
56,4.216,1
57,4.678,1
58,10.164,1
59,8.57,0
60,3.3339999999999996,0
61,7.05,1
62,3.312,0
63,1.96,0
64,6.808,2
65,10.655999999999999,1
66,2.622,0
67,2.74,1
68,5.0489999999999995,0
69,5.704,5
70,8.165,1
71,7.89,0
72,3.696,0
73,13.497,0
74,5.409,1
75,1.459,0
76,12.425999999999998,0
77,6.992000000000001,0
78,0.7,1
79,3.787,0
80,3.285,1
81,4.218999999999999,1
82,7.017,3
83,3.148,0
84,2.85,2
85,18.430999999999997,0
86,5.056,0
87,4.478,1
88,20.176,1
89,12.434000000000001,3
90,8.154,0
91,6.7379999999999995,1
92,2.767,1
93,4.276,2
94,5.893,2
95,6.0520000000000005,0
96,14.857999999999999,0
97,7.621,0
98,5.376,0
99,2.7910000000000004,0
100,2.696,0
101,6.816,1
102,10.302,0
103,4.376,1
104,7.112,2
105,3.127,0
106,7.502999999999999,1
107,3.635,2
108,2.51,0
109,4.848,0
110,12.53,0
111,2.8539999999999996,1
112,4.331,0
113,1.102,0
114,2.65,0
115,3.34,0
116,2.608,0
117,2.6639999999999997,0
118,4.181,0
119,13.324000000000002,0
120,5.0760000000000005,3
121,4.288,0
122,7.315,0
123,2.793,0
124,7.862,0
125,1.1079999999999999,0
126,3.5789999999999997,1
127,4.048,0
128,1.351,0
129,4.598,0
130,7.322,0
131,3.2239999999999998,0
132,5.575,0
133,3.783,1
134,19.102999999999998,0
135,45.106,0
136,4.888,0
137,4.048,0
138,28.385,0
139,4.071000000000001,0
140,4.016,0
141,1.1520000000000001,0
142,8.253,0
143,20.215999999999998,0
144,5.615,0
145,10.731,0
146,5.534,0
147,2.98,0
148,14.462,0
149,5.834,0
150,14.073,1
151,7.977,0
152,2.702,0
153,11.872,0
154,4.952,0
155,14.305,0
156,24.573,0
157,2.67,0
158,11.714,1
159,11.28,0
160,2.583,0
161,4.312,0
162,49.574,0
163,10.600999999999999,0
164,11.085,0
165,5.212000000000001,0
166,7.392,0
167,5.729,0
168,5.729,0
169,15.136,1
170,5.475,0
171,22.03,1
172,12.185,0
173,39.775,0
174,37.357,0
175,6.474,1
176,5.494,0
177,6.608,0
178,17.189,0
179,12.363,0
180,6.731,1
181,14.923,0
182,8.283999999999999,0
183,13.147,0
184,4.268,0
185,14.575,0
186,7.308,0
187,9.365,2
188,19.363,0
