,heuristic,board,correlation,sample_number
129,interaction,6_hard_pruned,0.670224456,2
130,linear,10_easy_full,0.114701352,2
131,linear,10_easy_pruned,0.352539591,2
132,linear,10_hard_full,0.507211746,2
133,linear,10_hard_pruned,0.305811331,2
134,linear,10_medium_full,0.493222857,2
135,linear,10_medium_pruned,0.371225191,2
136,linear,6_easy_full,0.723409164,2
137,linear,6_easy_pruned,0.592199329,2
138,linear,6_hard_full,0.44002335,2
139,linear,6_hard_pruned,0.443970813,2
140,non-linear,10_easy_full,0.501225268,2
141,non-linear,10_easy_pruned,0.615325678,2
142,non-linear,10_hard_full,0.492058842,2
143,non-linear,10_hard_pruned,0.548577318,2
144,non-linear,10_medium_full,0.549078274,2
145,non-linear,10_medium_pruned,0.57266739,2
146,non-linear,6_easy_full,0.863120057,2
147,non-linear,6_easy_pruned,0.656470615,2
148,non-linear,6_hard_full,0.607130604,2
149,non-linear,6_hard_pruned,0.438077622,2
150,blocking,10_easy_full,0.731236767,3
151,blocking,10_easy_pruned,0.687580097,3
152,blocking,10_hard_full,0.691685684,3
153,blocking,10_hard_pruned,0.612133432,3
154,blocking,10_medium_full,0.419150646,3
155,blocking,10_medium_pruned,0.567627219,3
156,blocking,6_easy_full,0.835940583,3
157,blocking,6_easy_pruned,0.625188125,3
158,blocking,6_hard_full,0.570774631,3
159,blocking,6_hard_pruned,0.528760867,3
160,density,10_easy_full,0.205961774,3
161,density,10_easy_pruned,0.371966603,3
162,density,10_hard_full,0.361457454,3
163,density,10_hard_pruned,0.322139821,3
164,density,10_medium_full,0.104204885,3
165,density,10_medium_pruned,-0.041406139,3
166,density,6_easy_full,0.203493129,3
167,density,6_easy_pruned,0.452862704,3
168,density,6_hard_full,0.654827933,3
169,density,6_hard_pruned,0.304740533,3
170,interaction,10_easy_full,0.629262715,3
171,interaction,10_easy_pruned,0.657449584,3
172,interaction,10_hard_full,0.554042105,3
173,interaction,10_hard_pruned,0.758961529,3
174,interaction,10_medium_full,0.334002186,3
175,interaction,10_medium_pruned,0.313666695,3
176,interaction,6_easy_full,0.773341524,3
177,interaction,6_easy_pruned,0.55010431,3
178,interaction,6_hard_full,0.640937619,3
179,interaction,6_hard_pruned,0.560093588,3
180,linear,10_easy_full,0.074618339,3
181,linear,10_easy_pruned,0.588939805,3
182,linear,10_hard_full,0.484398702,3
183,linear,10_hard_pruned,0.418795981,3
184,linear,10_medium_full,0.312412222,3
185,linear,10_medium_pruned,0.261476283,3
186,linear,6_easy_full,0.767792008,3
187,linear,6_easy_pruned,0.523551352,3
188,linear,6_hard_full,0.588819317,3
189,linear,6_hard_pruned,0.489657458,3
190,non-linear,10_easy_full,0.340891589,3
191,non-linear,10_easy_pruned,0.559224018,3
192,non-linear,10_hard_full,0.353122684,3
193,non-linear,10_hard_pruned,0.628858116,3
194,non-linear,10_medium_full,0.649772793,3
195,non-linear,10_medium_pruned,0.290406907,3
196,non-linear,6_easy_full,0.843778149,3
197,non-linear,6_easy_pruned,0.653644565,3
198,non-linear,6_hard_full,0.453222255,3
199,non-linear,6_hard_pruned,0.637272843,3
200,blocking,10_easy_full,0.638622315,4
201,blocking,10_easy_pruned,0.545432308,4
202,blocking,10_hard_full,0.45149245,4
203,blocking,10_hard_pruned,0.656664347,4
204,blocking,10_medium_full,0.455618259,4
205,blocking,10_medium_pruned,0.519300394,4
206,blocking,6_easy_full,0.867145582,4
207,blocking,6_easy_pruned,0.67777404,4
208,blocking,6_hard_full,0.660763238,4
209,blocking,6_hard_pruned,0.614595351,4
210,density,10_easy_full,0.19954314,4
211,density,10_easy_pruned,0.493565905,4
212,density,10_hard_full,0.355108012,4
213,density,10_hard_pruned,0.270773785,4
214,density,10_medium_full,0.322917602,4
215,density,10_medium_pruned,0.099745214,4
216,density,6_easy_full,0.553418052,4
217,density,6_easy_pruned,0.46023447,4
218,density,6_hard_full,0.44424262,4
219,density,6_hard_pruned,0.513466667,4
220,interaction,10_easy_full,0.426793633,4
221,interaction,10_easy_pruned,0.638902889,4
222,interaction,10_hard_full,0.613236884,4
223,interaction,10_hard_pruned,0.560632426,4
224,interaction,10_medium_full,0.486761266,4
225,interaction,10_medium_pruned,0.623572967,4
226,interaction,6_easy_full,0.833236732,4
227,interaction,6_easy_pruned,0.674951442,4
228,interaction,6_hard_full,0.653625295,4
229,interaction,6_hard_pruned,0.644644775,4
230,linear,10_easy_full,0.315816019,4
231,linear,10_easy_pruned,0.475197935,4
232,linear,10_hard_full,0.56583121,4
233,linear,10_hard_pruned,0.592620397,4
234,linear,10_medium_full,0.44885674,4
235,linear,10_medium_pruned,0.329323688,4
236,linear,6_easy_full,0.752890782,4
